"ZipCode","Type","City","State","IsPrimaryCity"
"00901","Standard","OLD SAN JUAN","PR","0"
"00901","Standard","VIEJO SAN JUAN","PR","0"
"00901","Standard","VIEJO SN JUAN","PR","0"
"00902","POBox","SAN JUAN","PR","1"
"00902","POBox","OLD SAN JUAN","PR","0"
"00902","POBox","VIEJO SAN JUAN","PR","0"
"00902","POBox","VIEJO SN JUAN","PR","0"
"00906","POBox","SAN JUAN","PR","1"
"00906","POBox","PTA DE TIERRA","PR","0"
"00906","POBox","PUERTA DE TIERRA","PR","0"
"00907","Standard","SAN JUAN","PR","1"
"00908","POBox","SAN JUAN","PR","1"
"00909","Standard","SAN JUAN","PR","1"
"00910","POBox","SAN JUAN","PR","1"
"00910","POBox","FDEZ JUNCOS","PR","0"
"00910","POBox","FERNANDEZ JUNCOS","PR","0"
"00911","Standard","SAN JUAN","PR","1"
"00912","Standard","SAN JUAN","PR","1"
"00912","Standard","SANTURCE","PR","0"
"00913","Standard","SAN JUAN","PR","1"
"00913","Standard","ISLA VERDE","PR","0"
"00913","Standard","SANTURCE","PR","0"
"00914","POBox","SAN JUAN","PR","1"
"00915","Standard","SAN JUAN","PR","1"
"00916","POBox","SAN JUAN","PR","1"
"00916","POBox","BARRIO OBRERO","PR","0"
"00916","POBox","SANTURCE","PR","0"
"00917","Standard","SAN JUAN","PR","1"
"00918","Standard","SAN JUAN","PR","1"
"00919","POBox","SAN JUAN","PR","1"
"00919","POBox","HATO REY","PR","0"
"00920","Standard","SAN JUAN","PR","1"
"00921","Standard","SAN JUAN","PR","1"
"00922","POBox","SAN JUAN","PR","1"
"00922","POBox","CAPARRA","PR","0"
"00922","POBox","CAPARRA HILLS","PR","0"
"00922","POBox","CAPARRA TER","PR","0"
"00922","POBox","CAPARRA TERRACE","PR","0"
"00923","Standard","SAN JUAN","PR","1"
"00924","Standard","SAN JUAN","PR","1"
"00925","Standard","SAN JUAN","PR","1"
"00926","Standard","SAN JUAN","PR","1"
"00927","Standard","SAN JUAN","PR","1"
"00928","POBox","SAN JUAN","PR","1"
"00928","POBox","RIO PIEDRAS","PR","0"
"00929","POBox","SAN JUAN","PR","1"
"00930","POBox","SAN JUAN","PR","1"
"00930","POBox","RIO PIEDRAS","PR","0"
"00930","POBox","SAN JOSE","PR","0"
"00931","POBox","SAN JUAN","PR","1"
"00931","POBox","RIO PIEDRAS","PR","0"
"00933","POBox","SAN JUAN","PR","1"
"00934","Standard","FORT BUCHANAN","PR","1"
"00935","Unique","SAN JUAN","PR","1"
"00936","POBox","SAN JUAN","PR","1"
"00937","POBox","SAN JUAN","PR","1"
"00939","Unique","SAN JUAN","PR","1"
"00940","POBox","SAN JUAN","PR","1"
"00940","POBox","MINILLAS","PR","0"
"00940","POBox","SANTURCE","PR","0"
"00949","Standard","TOA BAJA","PR","1"
"00950","POBox","TOA BAJA","PR","1"
"00951","POBox","TOA BAJA","PR","1"
"00952","Standard","SABANA SECA","PR","1"
"00953","Standard","TOA ALTA","PR","1"
"00954","POBox","TOA ALTA","PR","1"
"00955","POBox","SAN JUAN","PR","1"
"00956","Standard","BAYAMON","PR","1"
"00957","Standard","BAYAMON","PR","1"
"00958","POBox","BAYAMON","PR","1"
"00959","Standard","BAYAMON","PR","1"
"00960","POBox","BAYAMON","PR","1"
"00961","Standard","BAYAMON","PR","1"
"00962","Standard","CATANO","PR","1"
"00963","POBox","CATANO","PR","1"
"00965","Standard","GUAYNABO","PR","1"
"00966","Standard","GUAYNABO","PR","1"
"00968","Standard","GUAYNABO","PR","1"
"00969","Standard","GUAYNABO","PR","1"
"00970","POBox","GUAYNABO","PR","1"
"00971","Standard","GUAYNABO","PR","1"
"00975","Unique","SAN JUAN","PR","1"
"00976","Standard","TRUJILLO ALTO","PR","1"
"00977","POBox","TRUJILLO ALTO","PR","1"
"00978","POBox","SAINT JUST","PR","1"
"00979","Standard","CAROLINA","PR","1"
"00981","POBox","CAROLINA","PR","1"
"00982","Standard","CAROLINA","PR","1"
"00983","Standard","CAROLINA","PR","1"
"00984","POBox","CAROLINA","PR","1"
"00985","Standard","CAROLINA","PR","1"
"00986","POBox","CAROLINA","PR","1"
"00987","Standard","CAROLINA","PR","1"
"00988","POBox","CAROLINA","PR","1"
"01001","Standard","AGAWAM","MA","1"
"01002","Standard","AMHERST","MA","1"
"01003","POBox","AMHERST","MA","1"
"01004","POBox","AMHERST","MA","1"
"01005","Standard","BARRE","MA","1"
"01007","Standard","BELCHERTOWN","MA","1"
"01008","Standard","BLANDFORD","MA","1"
"01009","POBox","BONDSVILLE","MA","1"
"01010","Standard","BRIMFIELD","MA","1"
"01011","Standard","CHESTER","MA","1"
"01012","Standard","CHESTERFIELD","MA","1"
"01013","Standard","CHICOPEE","MA","1"
"01013","Standard","WILLIMANSETT","MA","0"
"01014","POBox","CHICOPEE","MA","1"
"01020","Standard","CHICOPEE","MA","1"
"01021","POBox","CHICOPEE","MA","1"
"01022","Standard","CHICOPEE","MA","1"
"01022","Standard","WESTOVER AFB","MA","0"
"01026","Standard","CUMMINGTON","MA","1"
"01027","Standard","EASTHAMPTON","MA","1"
"01028","Standard","EAST LONGMEADOW","MA","1"
"01028","Standard","E LONGMEADOW","MA","0"
"01029","POBox","EAST OTIS","MA","1"
"01030","Standard","FEEDING HILLS","MA","1"
"01031","Standard","GILBERTVILLE","MA","1"
"01032","Standard","GOSHEN","MA","1"
"01033","Standard","GRANBY","MA","1"
"01034","Standard","GRANVILLE","MA","1"
"01035","Standard","HADLEY","MA","1"
"01036","Standard","HAMPDEN","MA","1"
"01037","POBox","HARDWICK","MA","1"
"01038","Standard","HATFIELD","MA","1"
"01039","Standard","HAYDENVILLE","MA","1"
"01039","Standard","WEST WHATELY","MA","0"
"01040","Standard","HOLYOKE","MA","1"
"01041","POBox","HOLYOKE","MA","1"
"01050","Standard","HUNTINGTON","MA","1"
"01053","Standard","LEEDS","MA","1"
"01054","Standard","LEVERETT","MA","1"
"01056","Standard","LUDLOW","MA","1"
"01057","Standard","MONSON","MA","1"
"01059","POBox","NORTH AMHERST","MA","1"
"01059","POBox","AMHERST","MA","0"
"01060","Standard","NORTHAMPTON","MA","1"
"01061","POBox","NORTHAMPTON","MA","1"
"01062","Standard","FLORENCE","MA","1"
"01063","Unique","NORTHAMPTON","MA","1"
"01066","POBox","NORTH HATFIELD","MA","1"
"01068","Standard","OAKHAM","MA","1"
"01069","Standard","PALMER","MA","1"
"01070","Standard","PLAINFIELD","MA","1"
"01071","Standard","RUSSELL","MA","1"
"01072","Standard","SHUTESBURY","MA","1"
"01073","Standard","SOUTHAMPTON","MA","1"
"01074","POBox","SOUTH BARRE","MA","1"
"01075","Standard","SOUTH HADLEY","MA","1"
"01077","Standard","SOUTHWICK","MA","1"
"01079","POBox","THORNDIKE","MA","1"
"01080","Standard","THREE RIVERS","MA","1"
"01081","Standard","WALES","MA","1"
"01082","Standard","WARE","MA","1"
"01082","Standard","HARDWICK","MA","0"
"01083","POBox","WARREN","MA","1"
