Lender,MonthApproved,AVG(JobsReported)
"FIRST COMMAND BANK",APRIL,3.33333333333333
"CROSS RIVER BANK",MAY,3.2781954887218
"NEWTEK SMALL BUSINESS FINANCE, INC.",JULY,3.25
"VALLEY ISLE COMMUNITY FCU",JULY,3.25
"FIRST HOME BANK",JUNE,3.23076923076923
"HAWAII NATIONAL BANK",JULY,3.14285714285714
"BANK OF HAWAII",APRIL,3.10509679968392
"GATHER FCU",MAY,3.08695652173913
"CACHE VALLEY BANK",JULY,3.0
"COMMUNITY COMMERCE BANK",MAY,3.0
"D. L. EVANS BANK",APRIL,3.0
"EVOLVE BANK & TRUST",MAY,3.0
"FIRST COMMAND BANK",MAY,3.0
"INTUIT FINANCING INC.",AUGUST,3.0
"KAUA'I GOVERNMENT EMPLOYEES' FCU",JULY,3.0
"NEWPORT NEWS SHIPBUILDING EMPL CU INC D/B/A BAYPORT CU",APRIL,3.0
"NUMERICA CU",JUNE,3.0
"OPTUS BANK",AUGUST,3.0
"TERRITORIAL SAVINGS BANK",APRIL,3.0
"U.S. BANK, NATIONAL ASSOCIATION",AUGUST,3.0
"GATHER FCU",JUNE,2.9
"HOMESTREET BANK",JUNE,2.9
"MBE CAPITAL PARTNERS",MAY,2.875
"KAUA'I GOVERNMENT EMPLOYEES' FCU",JUNE,2.81818181818182
"AMERICAN EXPRESS NATIONAL BANK",APRIL,2.75
"CUSTOMERS BANK",APRIL,2.75
"MBE CAPITAL PARTNERS",JULY,2.69230769230769
"RADIUS BANK",JUNE,2.66666666666667
"UNITED COMMUNITY BANK",APRIL,2.66666666666667
"CELTIC BANK CORPORATION",MAY,2.65542168674699
"HAWAII FIRST FCU",MAY,2.65217391304348
"HAWAII COMMUNITY FCU",JULY,2.59090909090909
"BANK OF HAWAII",MAY,2.59073359073359
WEBBANK,APRIL,2.56756756756757
"CROSS RIVER BANK",AUGUST,2.56
"HAWAIIUSA FCU",AUGUST,2.56
"HAWAII FIRST FCU",APRIL,2.55172413793103
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",MAY,2.53846153846154
"KAUA'I GOVERNMENT EMPLOYEES' FCU",MAY,2.52173913043478
"FIRST STATE BANK",APRIL,2.5
"HAWAII COMMUNITY FCU",AUGUST,2.45454545454545
"KABBAGE, INC.",MAY,2.43373493975904
"BANK OF AMERICA, NATIONAL ASSOCIATION",MAY,2.42857142857143
"HAWAII NATIONAL BANK",JUNE,2.38461538461538
"HAWAII CENTRAL FCU",APRIL,2.375
"KAUA'I GOVERNMENT EMPLOYEES' FCU",APRIL,2.36585365853659
"CROSS RIVER BANK",JUNE,2.36538461538462
"OHANA PACIFIC BANK",JUNE,2.3
"BANK OF AMERICA, NATIONAL ASSOCIATION",APRIL,2.29411764705882
"GATHER FCU",AUGUST,2.25
"GLACIER BANK",APRIL,2.25
"MBE CAPITAL PARTNERS",JUNE,2.22222222222222
WEBBANK,MAY,2.21551724137931
"CACHE VALLEY BANK",JUNE,2.14285714285714
WEBBANK,JUNE,2.06122448979592
"HAWAIIUSA FCU",MAY,2.05454545454545
"AMERICAN BUSINESS BANK",APRIL,2.0
"AMERICAN LENDING CENTER",JUNE,2.0
"BANK OF THE SIERRA",APRIL,2.0
"BANNER BANK",APRIL,2.0
"CDC SMALL BUSINESS FINANCE CORPORATION",MAY,2.0
"COMMUNITY FIRST NATIONAL BANK",AUGUST,2.0
"CRF SMALL BUSINESS LOAN COMPANY, LLC",JULY,2.0
"CROSS RIVER BANK",JULY,2.0
"ELCA FCU",JUNE,2.0
"HANCOCK WHITNEY BANK",JUNE,2.0
"HAWAIIUSA FCU",JUNE,2.0
"LAKE ELMO BANK",APRIL,2.0
"MECHANICS BANK",APRIL,2.0
"MECHANICS BANK",MAY,2.0
"PINNACLE BANK",MAY,2.0
"RURAL COMMUNITY ASSISTANCE CORPORATION",MAY,2.0
"SANTA CRUZ COUNTY BANK",APRIL,2.0
"SILICON VALLEY BANK",APRIL,2.0
"TEXAS CAPITAL BANK, NATIONAL ASSOCIATION",MAY,2.0
"VIBRANT CU",MAY,2.0
"U.S. BANK, NATIONAL ASSOCIATION",MAY,1.85714285714286
"CUSTOMERS BANK",JUNE,1.84615384615385
WEBBANK,JULY,1.81818181818182
"KABBAGE, INC.",AUGUST,1.7906976744186
"OHANA PACIFIC BANK",MAY,1.77966101694915
"HAWAII NATIONAL BANK",AUGUST,1.66666666666667
"IDAHO FIRST BANK",APRIL,1.66666666666667
"KAUA'I GOVERNMENT EMPLOYEES' FCU",AUGUST,1.66666666666667
"KABBAGE, INC.",JUNE,1.5796178343949
"MBE CAPITAL PARTNERS",AUGUST,1.5625
"FIRST HOME BANK",JULY,1.5
"HAWAIIUSA FCU",JULY,1.5
"RADIUS BANK",JULY,1.5
"SYNOVUS BANK",APRIL,1.5
"U.S. BANK, NATIONAL ASSOCIATION",APRIL,1.5
"U.S. BANK, NATIONAL ASSOCIATION",JUNE,1.5
"KABBAGE, INC.",JULY,1.46242774566474
"COMERICA BANK",APRIL,1.4
"AMERICAN EXPRESS NATIONAL BANK",JUNE,1.33333333333333
"NEWTEK SMALL BUSINESS FINANCE, INC.",JUNE,1.33333333333333
"FIRST FOUNDATION BANK",MAY,1.2
"CENTRAL PACIFIC BANK",JUNE,1.16402116402116
"CENTRAL PACIFIC BANK",MAY,1.15525672371638
"BANK OF HAWAII",JUNE,1.12690355329949
"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",JUNE,1.1
"1ST FINANCIAL BANK USA",JULY,1.0
"ALASKA USA FCU",JULY,1.0
"ALLEGACY FCU",AUGUST,1.0
"ALPINE BANK",APRIL,1.0
"ALPINE BANK",JUNE,1.0
"AMERICA'S CHRISTIAN CU",AUGUST,1.0
"AMERICAN LENDING CENTER",AUGUST,1.0
"AMERICAN SAVINGS BANK, FSB",AUGUST,1.0
"AMERICAN SAVINGS BANK, FSB",JULY,1.0
"AXOS BANK",MAY,1.0
BANCFIRST,JUNE,1.0
"BANK OF ALMA",APRIL,1.0
"BANK OF GUAM",APRIL,1.0
"BANK OF HAWAII",AUGUST,1.0
"BANK OF HAWAII",JULY,1.0
"BANK OF SOUTHERN CALIFORNIA, NATIONAL ASSOCIATION",JULY,1.0
BANKVISTA,APRIL,1.0
"BANNER BANK",AUGUST,1.0
