Lender,MonthApproved,AvgPerJobAmount
"AMERICAN BUSINESS BANK",APRIL,13133.0
"AXOS BANK",MAY,13042.6
"ONE FLORIDA BANK",APRIL,13033.0
"FUNDBOX, INC.",AUGUST,12859.191875
"NEWTEK SMALL BUSINESS FINANCE, INC.",JULY,12791.5
"FIRST STATE BANK",APRIL,12775.0
"1ST SOURCE BANK",APRIL,12759.5
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",MAY,12718.3846153846
"FIRST CITIZENS BANK OF BUTTE",APRIL,12500.0
"OPTUS BANK",AUGUST,12500.0
"SOUTHERNTRUST BANK",MAY,12490.0
"BANK OF HAWAII",MAY,12477.0604890605
"TERRITORIAL SAVINGS BANK",JULY,12368.0
"STEARNS BANK NATIONAL ASSOCIATION",APRIL,12324.6666666667
"ELCA FCU",JUNE,12293.4
"BANK OF THE SIERRA",APRIL,12150.0
"CDC SMALL BUSINESS FINANCE CORPORATION",MAY,12067.0
"GREAT WESTERN BANK",APRIL,12017.0
"NAVY FCU",MAY,11955.5555555556
"NEWTEK SMALL BUSINESS FINANCE, INC.",APRIL,11850.0
"TOWN BANK, NATIONAL ASSOCIATION",APRIL,11725.0
"NEWTEK SMALL BUSINESS FINANCE, INC.",AUGUST,11700.0
"AMERICAN EXPRESS NATIONAL BANK",JUNE,11694.1666666667
INCREDIBLEBANK,APRIL,11690.0
"HANMI BANK",APRIL,11571.0
"BANK OF THE WEST",MAY,11458.0
"BANK OF AMERICA, NATIONAL ASSOCIATION",APRIL,11439.0783333333
"ALLEGACY FCU",AUGUST,11432.41
"HAWAII NATIONAL BANK",AUGUST,11246.6666666667
"HAWAII COMMUNITY FCU",JUNE,11232.88
"FARMERS & MERCHANTS UNION BANK",APRIL,11184.76
"MBE CAPITAL PARTNERS",JUNE,11134.6111111111
"PARKSIDE FINANCIAL BANK & TRUST",APRIL,11108.0
"COMMUNITY COMMERCE BANK",MAY,10900.0
"PACIFIC ENTERPRISE BANK",AUGUST,10887.0
"FIRST HOME BANK",JULY,10775.0
"RADIUS BANK",JULY,10770.5
"GREATER NEVADA CU",JUNE,10715.0
"FIRST FINANCIAL BANK",APRIL,10600.0
"TERRITORIAL SAVINGS BANK",APRIL,10533.5454545455
"AMERICAN EXPRESS NATIONAL BANK",APRIL,10492.4895833333
"KABBAGE, INC.",APRIL,10460.3636363636
"RADIUS BANK",JUNE,10459.6666666667
"CALPRIVATE BANK",APRIL,10400.0
"HAWAII COMMUNITY FCU",JULY,10361.7800757576
