City,JobTitle,COUNT(LoanAmount)
HONOKAA,"LANDSCAPING SERVICES",2
HONOKAA,"PHOTOGRAPHY STUDIOS, PORTRAIT",2
HONOLULU,"ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS",2
HONOLULU,"ADMINISTRATION OF HUMAN RESOURCE PROGRAMS (EXCEPT EDUCATION, PUBLIC HEALTH, AND VETERANS' AFFAIRS PROGRAMS)",2
HONOLULU,"ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING",2
HONOLULU,"ALL OTHER NONDEPOSITORY CREDIT INTERMEDIATION",2
HONOLULU,"ALL OTHER SUPPORT ACTIVITIES FOR TRANSPORTATION",2
HONOLULU,APICULTURE,2
HONOLULU,"AUTOMOTIVE OIL CHANGE AND LUBRICATION SHOPS",2
HONOLULU,"BEEF CATTLE RANCHING AND FARMING",2
HONOLULU,"BOAT DEALERS",2
HONOLULU,"BOOK, PERIODICAL, AND NEWSPAPER MERCHANT WHOLESALERS",2
HONOLULU,"BRICK, STONE, AND RELATED CONSTRUCTION MATERIAL MERCHANT WHOLESALERS",2
HONOLULU,"BROADWOVEN FABRIC MILLS",2
HONOLULU,"CABLE AND OTHER SUBSCRIPTION PROGRAMMING",2
HONOLULU,"COMMODITY CONTRACTS DEALING",2
HONOLULU,"COMMUNITY FOOD SERVICES",2
HONOLULU,"COMPUTER FACILITIES MANAGEMENT SERVICES",2
HONOLULU,"CONFECTIONERY MERCHANT WHOLESALERS",2
HONOLULU,"COOKIE AND CRACKER MANUFACTURING",2
HONOLULU,"DIAGNOSTIC IMAGING CENTERS",2
HONOLULU,"DIRECT LIFE INSURANCE CARRIERS",2
HONOLULU,"DIRECT MAIL ADVERTISING",2
HONOLULU,"DRY PASTA, DOUGH, AND FLOUR MIXES MANUFACTURING FROM PURCHASED FLOUR",2
HONOLULU,"FABRICATED STRUCTURAL METAL MANUFACTURING",2
HONOLULU,"FACILITIES SUPPORT SERVICES",2
HONOLULU,"FAMILY PLANNING CENTERS",2
HONOLULU,"FINFISH FARMING AND FISH HATCHERIES",2
HONOLULU,"FROZEN CAKES, PIES, AND OTHER PASTRIES MANUFACTURING",2
HONOLULU,"GENERAL WAREHOUSING AND STORAGE",2
HONOLULU,"HARDWARE MERCHANT WHOLESALERS",2
HONOLULU,"HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING",2
HONOLULU,"HOME CENTERS",2
HONOLULU,"HOUSEHOLD APPLIANCES, ELECTRIC HOUSEWARES, AND CONSUMER ELECTRONICS MERCHANT WHOLESALERS",2
HONOLULU,"INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS",2
HONOLULU,"LIBRARIES AND ARCHIVES",2
HONOLULU,"MACHINE SHOPS",2
HONOLULU,"MOTION PICTURE THEATERS (EXCEPT DRIVE-INS)",2
HONOLULU,"MUSIC PUBLISHERS",2
HONOLULU,"NATURE PARKS AND OTHER SIMILAR INSTITUTIONS",2
HONOLULU,"NEW CAR DEALERS",2
HONOLULU,"OPHTHALMIC GOODS MERCHANT WHOLESALERS",2
HONOLULU,"OTHER ELECTRIC POWER GENERATION",2
HONOLULU,"OTHER FINANCIAL VEHICLES",2
HONOLULU,"OTHER FOOD CROPS GROWN UNDER COVER",2
HONOLULU,"OTHER MARINE FISHING",2
HONOLULU,"OTHER MILLWORK (INCLUDING FLOORING)",2
HONOLULU,"OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",2
HONOLULU,"OTHER SPECTATOR SPORTS",2
HONOLULU,"PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS)",2
HONOLULU,"PROFESSIONAL ORGANIZATIONS",2
HONOLULU,"PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS",2
HONOLULU,"REAL ESTATE CREDIT",2
HONOLULU,"REFRIGERATED WAREHOUSING AND STORAGE",2
HONOLULU,"REGULATION, LICENSING, AND INSPECTION OF MISCELLANEOUS COMMERCIAL SECTORS",2
HONOLULU,"RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY)",2
HONOLULU,"SCHEDULED PASSENGER AIR TRANSPORTATION",2
HONOLULU,"SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",2
HONOLULU,"SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING",2
HONOLULU,"SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING",2
HONOLULU,"TELEPRODUCTION AND OTHER POSTPRODUCTION SERVICES",2
HONOLULU,"TELEVISION BROADCASTING",2
HONOLULU,"TEXTILE BAG AND CANVAS MILLS",2
HONOLULU,"TOBACCO MANUFACTURING",2
HONOLULU,"TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS",2
HONOLULU,"TRUSTS, ESTATES, AND AGENCY ACCOUNTS",2
JBPHH,"FULL-SERVICE RESTAURANTS",2
KAHUKU,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",2
KAHUKU,"LIMITED-SERVICE RESTAURANTS",2
KAHUKU,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",2
KAHULUI,"ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES",2
KAHULUI,"ALL OTHER AUTOMOTIVE REPAIR AND MAINTENANCE",2
KAHULUI,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2
KAHULUI,"ALL OTHER SUPPORT SERVICES",2
KAHULUI,"APPLIANCE REPAIR AND MAINTENANCE",2
KAHULUI,"AUTOMOTIVE PARTS AND ACCESSORIES STORES",2
KAHULUI,"BAKED GOODS STORES",2
KAHULUI,CATERERS,2
KAHULUI,"CHILD DAY CARE SERVICES",2
KAHULUI,"COMMERCIAL PHOTOGRAPHY",2
KAHULUI,"COMPUTER SYSTEMS DESIGN SERVICES",2
KAHULUI,"CONVENIENCE STORES",2
KAHULUI,"CUSTOM COMPUTER PROGRAMMING SERVICES",2
KAHULUI,"ELEMENTARY AND SECONDARY SCHOOLS",2
KAHULUI,"FLOOR COVERING STORES",2
KAHULUI,"GASOLINE STATIONS WITH CONVENIENCE STORES",2
KAHULUI,"HARDWARE STORES",2
KAHULUI,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",2
KAHULUI,"HOUSEHOLD APPLIANCES, ELECTRIC HOUSEWARES, AND CONSUMER ELECTRONICS MERCHANT WHOLESALERS",2
KAHULUI,"INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS",2
KAHULUI,"INTERIOR DESIGN SERVICES",2
KAHULUI,"LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES)",2
KAHULUI,"LESSORS OF OTHER REAL ESTATE PROPERTY",2
KAHULUI,"LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS",2
KAHULUI,"MOTOR VEHICLE TOWING",2
KAHULUI,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",2
KAHULUI,"OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS",2
KAHULUI,"OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS)",2
KAHULUI,"OFFICES OF OPTOMETRISTS",2
KAHULUI,"OTHER ACTIVITIES RELATED TO REAL ESTATE",2
KAHULUI,"OTHER DIRECT SELLING ESTABLISHMENTS",2
KAHULUI,"OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS",2
KAHULUI,"OTHER SERVICES TO BUILDINGS AND DWELLINGS",2
KAHULUI,"PHOTOGRAPHY STUDIOS, PORTRAIT",2
KAHULUI,"RESIDENTIAL PROPERTY MANAGERS",2
KAHULUI,"SIGN MANUFACTURING",2
KAHULUI,"SNACK AND NONALCOHOLIC BEVERAGE BARS",2
KAHULUI,"TILE AND TERRAZZO CONTRACTORS",2
KAHULUI,"TIRE DEALERS",2
KAHULUI,"TOBACCO MANUFACTURING",2
KAHULUI,"TOILET PREPARATION MANUFACTURING",2
KAHULUI,"USED CAR DEALERS",2
KAHULUI,"WOMEN'S CLOTHING STORES",2
KAILUA,"ALL OTHER HEALTH AND PERSONAL CARE STORES",2
KAILUA,"ALL OTHER MISCELLANEOUS FOOD MANUFACTURING",2
KAILUA,"ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION",2
KAILUA,"ALL OTHER OUTPATIENT CARE CENTERS",2
KAILUA,"ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION",2
KAILUA,"AUTOMOTIVE GLASS REPLACEMENT SHOPS",2
KAILUA,"BED-AND-BREAKFAST INNS",2
KAILUA,"BRICK, STONE, AND RELATED CONSTRUCTION MATERIAL MERCHANT WHOLESALERS",2
KAILUA,"BUILDING INSPECTION SERVICES",2
KAILUA,"COIN-OPERATED LAUNDRIES AND DRYCLEANERS",2
KAILUA,"COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE",2
KAILUA,"COMMERCIAL PHOTOGRAPHY",2
KAILUA,"COMMERCIAL PRINTING (EXCEPT SCREEN AND BOOKS)",2
KAILUA,"COSMETICS, BEAUTY SUPPLIES, AND PERFUME STORES",2
KAILUA,"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS",2
KAILUA,"EXTERMINATING AND PEST CONTROL SERVICES",2
KAILUA,"FLOORING CONTRACTORS",2
KAILUA,FLORISTS,2
KAILUA,"FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS",2
KAILUA,"GENERAL FREIGHT TRUCKING, LOCAL",2
KAILUA,"HOME FURNISHING MERCHANT WHOLESALERS",2
KAILUA,"HUMAN RESOURCES CONSULTING SERVICES",2
KAILUA,"INTERIOR DESIGN SERVICES",2
KAILUA,"JEWELRY AND SILVERWARE MANUFACTURING",2
KAILUA,"JEWELRY, WATCH, PRECIOUS STONE, AND PRECIOUS METAL MERCHANT WHOLESALERS",2
KAILUA,"LANDSCAPE ARCHITECTURAL SERVICES",2
KAILUA,"LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES)",2
KAILUA,"LESSORS OF OTHER REAL ESTATE PROPERTY",2
KAILUA,"LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL MERCHANT WHOLESALERS",2
KAILUA,"NAIL SALONS",2
KAILUA,"NONRESIDENTIAL PROPERTY MANAGERS",2
KAILUA,"OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS",2
KAILUA,"OTHER AUTOMOTIVE MECHANICAL AND ELECTRICAL REPAIR AND MAINTENANCE",2
KAILUA,"OTHER SERVICES TO BUILDINGS AND DWELLINGS",2
KAILUA,"PAINTING AND WALL COVERING CONTRACTORS",2
KAILUA,"REUPHOLSTERY AND FURNITURE REPAIR",2
KAILUA,"SERVICES FOR THE ELDERLY AND PERSONS WITH DISABILITIES",2
KAILUA,"SOLAR ELECTRIC POWER GENERATION",2
KAILUA,"TILE AND TERRAZZO CONTRACTORS",2
KAILUA,"VETERINARY SERVICES",2
KAILUA,"WOMEN'S, CHILDREN'S, AND INFANTS' CLOTHING AND ACCESSORIES MERCHANT WHOLESALERS",2
"KAILUA KONA","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES",2
"KAILUA KONA","ADVERTISING AGENCIES",2
"KAILUA KONA","ALL OTHER GENERAL MERCHANDISE STORES",2
"KAILUA KONA","ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES",2
"KAILUA KONA","ALL OTHER MISCELLANEOUS CROP FARMING",2
"KAILUA KONA","ALL OTHER SPECIALTY FOOD STORES",2
"KAILUA KONA","AUTOMOTIVE PARTS AND ACCESSORIES STORES",2
"KAILUA KONA","BAKED GOODS STORES",2
"KAILUA KONA","BEER, WINE, AND LIQUOR STORES",2
"KAILUA KONA","BOAT DEALERS",2
"KAILUA KONA","BOOK STORES",2
"KAILUA KONA","CARPET AND UPHOLSTERY CLEANING SERVICES",2
"KAILUA KONA","CLOTHING ACCESSORIES STORES",2
"KAILUA KONA","COMMERCIAL PRINTING (EXCEPT SCREEN AND BOOKS)",2
"KAILUA KONA","CONVENIENCE STORES",2
"KAILUA KONA","CUSTOM COMPUTER PROGRAMMING SERVICES",2
"KAILUA KONA","EDUCATIONAL SUPPORT SERVICES",2
"KAILUA KONA","EXTERMINATING AND PEST CONTROL SERVICES",2
"KAILUA KONA","FINE ARTS SCHOOLS",2
"KAILUA KONA","FLOORING CONTRACTORS",2
"KAILUA KONA","GENERAL FREIGHT TRUCKING, LOCAL",2
"KAILUA KONA","GRANTMAKING FOUNDATIONS",2
"KAILUA KONA","HOTELS (EXCEPT CASINO HOTELS) AND MOTELS",2
"KAILUA KONA","HOUSEHOLD APPLIANCE STORES",2
"KAILUA KONA","INSURANCE AGENCIES AND BROKERAGES",2
"KAILUA KONA","INTERIOR DESIGN SERVICES",2
"KAILUA KONA","INVESTMENT ADVICE",2
"KAILUA KONA","JEWELRY AND SILVERWARE MANUFACTURING",2
"KAILUA KONA","LANDSCAPE ARCHITECTURAL SERVICES",2
"KAILUA KONA","MACHINE SHOPS",2
"KAILUA KONA",MARINAS,2
"KAILUA KONA","MARKETING CONSULTING SERVICES",2
"KAILUA KONA","MASONRY CONTRACTORS",2
"KAILUA KONA","MORTGAGE AND NONMORTGAGE LOAN BROKERS",2
"KAILUA KONA","MOTOR VEHICLE TOWING",2
"KAILUA KONA","MUSICAL GROUPS AND ARTISTS",2
"KAILUA KONA","NAIL SALONS",2
"KAILUA KONA","NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",2
"KAILUA KONA","OFFICE ADMINISTRATIVE SERVICES",2
"KAILUA KONA","OTHER BUILDING EQUIPMENT CONTRACTORS",2
"KAILUA KONA","OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING",2
"KAILUA KONA","OTHER INDIVIDUAL AND FAMILY SERVICES",2
"KAILUA KONA","OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE",2
"KAILUA KONA","OTHER SIMILAR ORGANIZATIONS (EXCEPT BUSINESS, PROFESSIONAL, LABOR, AND POLITICAL ORGANIZATIONS)",2
"KAILUA KONA","PET CARE (EXCEPT VETERINARY) SERVICES",2
"KAILUA KONA","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",2
"KAILUA KONA","RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES",2
"KAILUA KONA","TRUSTS, ESTATES, AND AGENCY ACCOUNTS",2
"KAILUA KONA","WINDOW TREATMENT STORES",2
KALAHEO,,2
KALAHEO,"ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES)",2
KALAHEO,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2
KALAHEO,"BEAUTY SALONS",2
KALAHEO,"FINISH CARPENTRY CONTRACTORS",2
KALAHEO,"FULL-SERVICE RESTAURANTS",2
KALAHEO,"LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS",2
KALAHEO,"MOBILE FOOD SERVICES",2
KALAHEO,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",2
KALAHEO,"RELIGIOUS ORGANIZATIONS",2
KALAHEO,"TOUR OPERATORS",2
KAMUELA,"ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES",2
KAMUELA,"ALL OTHER PUBLISHERS",2
KAMUELA,"ALL OTHER TRAVELER ACCOMMODATION",2
KAMUELA,"ARCHITECTURAL SERVICES",2
KAMUELA,"ART DEALERS",2
KAMUELA,"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",2
KAMUELA,CATERERS,2
KAMUELA,"CHILD DAY CARE SERVICES",2
KAMUELA,"CLOTHING ACCESSORIES STORES",2
KAMUELA,"COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION",2
KAMUELA,"COMMERCIAL PHOTOGRAPHY",2
KAMUELA,"EDUCATIONAL SUPPORT SERVICES",2
KAMUELA,"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS",2
KAMUELA,FLORISTS,2
KAMUELA,"GENERAL AUTOMOTIVE REPAIR",2
KAMUELA,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS THAN TRUCKLOAD",2
KAMUELA,"GRAPHIC DESIGN SERVICES",2
KAMUELA,"ICE CREAM AND FROZEN DESSERT MANUFACTURING",2
KAMUELA,"INTERIOR DESIGN SERVICES",2
KAMUELA,"NAIL SALONS",2
KAMUELA,"OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS",2
KAMUELA,"OTHER ACTIVITIES RELATED TO REAL ESTATE",2
KAMUELA,"OTHER PERSONAL CARE SERVICES",2
KAMUELA,"PHOTOGRAPHY STUDIOS, PORTRAIT",2
KAMUELA,"PROFESSIONAL ORGANIZATIONS",2
KAMUELA,"TAX PREPARATION SERVICES",2
KANEOHE,"AGENTS AND MANAGERS FOR ARTISTS, ATHLETES, ENTERTAINERS, AND OTHER PUBLIC FIGURES",2
KANEOHE,"ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES",2
KANEOHE,"ALL OTHER BUSINESS SUPPORT SERVICES",2
KANEOHE,"ALL OTHER MISCELLANEOUS CROP FARMING",2
KANEOHE,"ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES)",2
KANEOHE,"ALL OTHER SPECIALTY FOOD STORES",2
KANEOHE,"APPLIANCE REPAIR AND MAINTENANCE",2
KANEOHE,"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",2
KANEOHE,"BARBER SHOPS",2
KANEOHE,"COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE",2
KANEOHE,"CONVENIENCE STORES",2
KANEOHE,"CUSTOM COMPUTER PROGRAMMING SERVICES",2
KANEOHE,"DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED)",2
KANEOHE,"EXAM PREPARATION AND TUTORING",2
KANEOHE,"FITNESS AND RECREATIONAL SPORTS CENTERS",2
KANEOHE,"GENERAL FREIGHT TRUCKING, LOCAL",2
KANEOHE,"GENERAL MEDICAL AND SURGICAL HOSPITALS",2
KANEOHE,"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",2
KANEOHE,"INSURANCE AGENCIES AND BROKERAGES",2
KANEOHE,"JEWELRY, WATCH, PRECIOUS STONE, AND PRECIOUS METAL MERCHANT WHOLESALERS",2
KANEOHE,"LANDSCAPE ARCHITECTURAL SERVICES",2
KANEOHE,"MARKETING CONSULTING SERVICES",2
KANEOHE,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",2
KANEOHE,"MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS",2
KANEOHE,"NEW HOUSING FOR-SALE BUILDERS",2
KANEOHE,"NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",2
KANEOHE,"NONRESIDENTIAL PROPERTY MANAGERS",2
KANEOHE,"OFFICES OF CHIROPRACTORS",2
KANEOHE,"OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING",2
KANEOHE,"OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING",2
KANEOHE,"PHOTOFINISHING LABORATORIES (EXCEPT ONE-HOUR)",2
KANEOHE,"PHOTOGRAPHY STUDIOS, PORTRAIT",2
KANEOHE,"PUBLIC RELATIONS AGENCIES",2
KANEOHE,"RECREATIONAL GOODS RENTAL",2
KANEOHE,"SPECIAL NEEDS TRANSPORTATION",2
KANEOHE,"TAXI SERVICE",2
KANEOHE,"TRANSLATION AND INTERPRETATION SERVICES",2
KANEOHE,"TRAVEL AGENCIES",2
KANEOHE,"VETERINARY SERVICES",2
KAPAA,"ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES",2
KAPAA,"ALL OTHER SPECIALTY TRADE CONTRACTORS",2
KAPAA,"ALL OTHER TRAVELER ACCOMMODATION",2
KAPAA,"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",2
KAPAA,"BAKED GOODS STORES",2
KAPAA,"CHILD DAY CARE SERVICES",2
KAPAA,"CLOTHING ACCESSORIES STORES",2
KAPAA,"COMMERCIAL PHOTOGRAPHY",2
KAPAA,"COMMERCIAL SCREEN PRINTING",2
KAPAA,"COMPUTER SYSTEMS DESIGN SERVICES",2
KAPAA,"DRYWALL AND INSULATION CONTRACTORS",2
KAPAA,"ENGINEERING SERVICES",2
KAPAA,"GRAPHIC DESIGN SERVICES",2
KAPAA,"INDUSTRIAL BUILDING CONSTRUCTION",2
KAPAA,"INSURANCE AGENCIES AND BROKERAGES",2
KAPAA,"JEWELRY STORES",2
KAPAA,"MEDICAL LABORATORIES",2
KAPAA,"NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",2
KAPAA,"NURSERY AND TREE PRODUCTION",2
KAPAA,"OFFICES OF CHIROPRACTORS",2
KAPAA,"OFFICES OF DENTISTS",2
KAPAA,"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",2
KAPAA,"OTHER COMPUTER RELATED SERVICES",2
KAPAA,"ROOFING CONTRACTORS",2
KAPAA,"SHOE STORES",2
KAPAA,"SNACK AND NONALCOHOLIC BEVERAGE BARS",2
KAPAA,"SOAP AND OTHER DETERGENT MANUFACTURING",2
KAPAA,"SOLID WASTE COLLECTION",2
KAPAA,"SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS",2
KAPAA,"TAX PREPARATION SERVICES",2
KAPAA,"VETERINARY SERVICES",2
KAPAAU,"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS",2
KAPAAU,"LANDSCAPING SERVICES",2
KAPOLEI,"ADVERTISING AGENCIES",2
KAPOLEI,"ALL OTHER LEGAL SERVICES",2
KAPOLEI,"ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION",2
KAPOLEI,"AMUSEMENT AND THEME PARKS",2
KAPOLEI,"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",2
KAPOLEI,"AUTOMOTIVE PARTS AND ACCESSORIES STORES",2
KAPOLEI,"BARBER SHOPS",2
KAPOLEI,"BEEF CATTLE RANCHING AND FARMING",2
KAPOLEI,"CHILD DAY CARE SERVICES",2
KAPOLEI,"COURIERS AND EXPRESS DELIVERY SERVICES",2
KAPOLEI,"ENGINEERING SERVICES",2
KAPOLEI,"FAMILY PLANNING CENTERS",2
KAPOLEI,"FOOD SERVICE CONTRACTORS",2
KAPOLEI,"FURNITURE STORES",2
KAPOLEI,"JEWELRY STORES",2
KAPOLEI,"LANDSCAPING SERVICES",2
KAPOLEI,"MARKETING CONSULTING SERVICES",2
KAPOLEI,"MASONRY CONTRACTORS",2
KAPOLEI,"NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",2
KAPOLEI,"NONRESIDENTIAL PROPERTY MANAGERS",2
KAPOLEI,"OFFICES OF CHIROPRACTORS",2
KAPOLEI,"OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE",2
KAPOLEI,"OTHER SPECIALIZED DESIGN SERVICES",2
KAPOLEI,"ROOFING CONTRACTORS",2
KAPOLEI,"SERVICES FOR THE ELDERLY AND PERSONS WITH DISABILITIES",2
KAPOLEI,"SNACK AND NONALCOHOLIC BEVERAGE BARS",2
KAPOLEI,"SPORTING AND ATHLETIC GOODS MANUFACTURING",2
KAPOLEI,"SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES",2
KAPOLEI,"TAXI SERVICE",2
KAPOLEI,"TOY AND HOBBY GOODS AND SUPPLIES MERCHANT WHOLESALERS",2
KAPOLEI,"WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION",2
KAUNAKAKAI,"AUTOMOTIVE PARTS AND ACCESSORIES STORES",2
KAUNAKAKAI,"FAMILY CLOTHING STORES",2
KAUNAKAKAI,"FISH AND SEAFOOD MERCHANT WHOLESALERS",2
KAUNAKAKAI,"GASOLINE STATIONS WITH CONVENIENCE STORES",2
KAUNAKAKAI,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",2
KEAAU,,2
KEAAU,"ALL OTHER BUSINESS SUPPORT SERVICES",2
KEAAU,"ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING",2
KEAAU,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",2
KEAAU,"GENERAL AUTOMOTIVE REPAIR",2
KEAAU,"JANITORIAL SERVICES",2
KEAAU,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",2
KEAAU,"OTHER NONCITRUS FRUIT FARMING",2
KEAAU,"PACKING AND CRATING",2
KEAAU,"PET CARE (EXCEPT VETERINARY) SERVICES",2
KEAAU,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",2
KEAAU,"RESIDENTIAL REMODELERS",2
KEALAKEKUA,"ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES",2
KEALAKEKUA,"ALL OTHER SPECIALTY FOOD STORES",2
KEALAKEKUA,"FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS",2
KEALAKEKUA,"LANDSCAPING SERVICES",2
KEALAKEKUA,"LIMITED-SERVICE RESTAURANTS",2
KEALAKEKUA,"OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS",2
KEALAKEKUA,"OFFICES OF REAL ESTATE APPRAISERS",2
KEALAKEKUA,"OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE",2
KEALAKEKUA,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",2
KEALAKEKUA,"RELIGIOUS ORGANIZATIONS",2
KEKAHA,"JANITORIAL SERVICES",2
KEKAHA,"RESIDENTIAL REMODELERS",2
KIHEI,"ALL OTHER CONSUMER GOODS RENTAL",2
KIHEI,"ALL OTHER MISCELLANEOUS MANUFACTURING",2
KIHEI,"ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING",2
KIHEI,"ALL OTHER SUPPORT SERVICES",2
KIHEI,"APPLIANCE REPAIR AND MAINTENANCE",2
KIHEI,"BEER, WINE, AND LIQUOR STORES",2
KIHEI,"CARPET AND UPHOLSTERY CLEANING SERVICES",2
KIHEI,"CHILD DAY CARE SERVICES",2
KIHEI,"COMMERCIAL PHOTOGRAPHY",2
KIHEI,"CONVENTION AND TRADE SHOW ORGANIZERS",2
KIHEI,"CURTAIN AND LINEN MILLS",2
KIHEI,"DRINKING PLACES (ALCOHOLIC BEVERAGES)",2
KIHEI,"ELECTRONIC SHOPPING AND MAIL-ORDER HOUSES",2
KIHEI,"ENGINEERING SERVICES",2
KIHEI,"FLOORING CONTRACTORS",2
KIHEI,"GRAPHIC DESIGN SERVICES",2
KIHEI,"INTERIOR DESIGN SERVICES",2
KIHEI,LOCKSMITHS,2
KIHEI,"MEDIA REPRESENTATIVES",2
