City,JobTitle,COUNT(LoanAmount)
HONOLULU,"FAMILY CLOTHING STORES",27
HONOLULU,"LANDSCAPING SERVICES",27
HONOLULU,"NONRESIDENTIAL PROPERTY MANAGERS",27
HILO,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",26
HONOLULU,"BEER, WINE, AND LIQUOR STORES",26
HONOLULU,"OTHER CLOTHING STORES",26
HONOLULU,"ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION",25
HONOLULU,"CIVIC AND SOCIAL ORGANIZATIONS",25
HONOLULU,"OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS",25
KANEOHE,"LIMITED-SERVICE RESTAURANTS",25
HONOLULU,"FINE ARTS SCHOOLS",24
HONOLULU,"LEGAL COUNSEL AND PROSECUTION",24
HONOLULU,"OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS",24
HONOLULU,"USED CAR DEALERS",24
KAPOLEI,"FULL-SERVICE RESTAURANTS",24
LAHAINA,"FULL-SERVICE RESTAURANTS",24
WAIPAHU,"OFFICES OF DENTISTS",24
AIEA,"LIMITED-SERVICE RESTAURANTS",23
AIEA,"OFFICES OF DENTISTS",23
"EWA BEACH","OFFICES OF REAL ESTATE AGENTS AND BROKERS",23
HILO,"GENERAL AUTOMOTIVE REPAIR",23
HONOLULU,"ENVIRONMENTAL CONSULTING SERVICES",23
HONOLULU,"WHOLESALE TRADE AGENTS AND BROKERS",23
KAILUA,"BEAUTY SALONS",23
WAIPAHU,"FULL-SERVICE RESTAURANTS",23
WAIPAHU,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",23
HONOLULU,"ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION",22
HONOLULU,"BARBER SHOPS",22
HONOLULU,"CHILD DAY CARE SERVICES",22
HONOLULU,"FLOORING CONTRACTORS",22
HONOLULU,"OFFICE ADMINISTRATIVE SERVICES",22
HONOLULU,"OTHER COMPUTER RELATED SERVICES",22
KANEOHE,"OFFICES OF DENTISTS",22
WAIPAHU,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",22
HILO,"BEAUTY SALONS",21
HONOLULU,"COSMETICS, BEAUTY SUPPLIES, AND PERFUME STORES",21
HONOLULU,"ELECTRONIC SHOPPING AND MAIL-ORDER HOUSES",21
HONOLULU,"FOOD SERVICE CONTRACTORS",21
KIHEI,"ALL OTHER PERSONAL SERVICES",21
MILILANI,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",21
WAILEA,"ALL OTHER PERSONAL SERVICES",21
HONOLULU,"ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES",20
HONOLULU,"OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING",20
HONOLULU,"OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE",20
KANEOHE,"FULL-SERVICE RESTAURANTS",20
KIHEI,"JANITORIAL SERVICES",20
WAILEA,"JANITORIAL SERVICES",20
WAILUKU,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",20
WAILUKU,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",20
HONOLULU,"INTERIOR DESIGN SERVICES",19
HONOLULU,"TRANSLATION AND INTERPRETATION SERVICES",19
"KAILUA KONA","LIMITED-SERVICE RESTAURANTS",19
KAMUELA,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",19
KANEOHE,"BEAUTY SALONS",19
HONOLULU,"ALL OTHER BUSINESS SUPPORT SERVICES",18
HONOLULU,"ALL OTHER INSURANCE RELATED ACTIVITIES",18
HONOLULU,"ALL OTHER SPECIALTY FOOD STORES",18
HONOLULU,"LESSORS OF OTHER REAL ESTATE PROPERTY",18
HONOLULU,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",18
HONOLULU,"OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES",18
KAILUA,"OFFICES OF DENTISTS",18
"KAILUA KONA",,18
"KAILUA KONA","OFFICES OF LAWYERS",18
"KAILUA KONA","OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",18
WAILUKU,"BEAUTY SALONS",18
WAILUKU,"LIMITED-SERVICE RESTAURANTS",18
WAIPAHU,"GENERAL AUTOMOTIVE REPAIR",18
HILO,"OFFICES OF LAWYERS",17
HONOLULU,"COMMERCIAL PRINTING (EXCEPT SCREEN AND BOOKS)",17
HONOLULU,"EXAM PREPARATION AND TUTORING",17
HONOLULU,"OTHER BUILDING MATERIAL DEALERS",17
HONOLULU,"WOMEN'S, CHILDREN'S, AND INFANTS' CLOTHING AND ACCESSORIES MERCHANT WHOLESALERS",17
KAILUA,"LIMITED-SERVICE RESTAURANTS",17
"KAILUA KONA","ALL OTHER PERSONAL SERVICES",17
"KAILUA KONA","JANITORIAL SERVICES",17
KIHEI,"LIMITED-SERVICE RESTAURANTS",17
KIHEI,"RESIDENTIAL PROPERTY MANAGERS",17
LAHAINA,"JEWELRY STORES",17
LIHUE,"LIMITED-SERVICE RESTAURANTS",17
WAILEA,"LIMITED-SERVICE RESTAURANTS",17
WAILEA,"RESIDENTIAL PROPERTY MANAGERS",17
WAILUKU,"OFFICES OF DENTISTS",17
WAIPAHU,"LIMITED-SERVICE RESTAURANTS",17
WAIPAHU,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",17
HILO,"OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS",16
HONOLULU,"ALL OTHER SUPPORT SERVICES",16
HONOLULU,"ELECTRONICS STORES",16
HONOLULU,"GASOLINE STATIONS WITH CONVENIENCE STORES",16
HONOLULU,"GENERAL FREIGHT TRUCKING, LOCAL",16
HONOLULU,"PET CARE (EXCEPT VETERINARY) SERVICES",16
"KAILUA KONA","BEAUTY SALONS",16
KANEOHE,,16
KAPAA,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",16
KIHEI,"OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS",16
LAHAINA,"RESIDENTIAL PROPERTY MANAGERS",16
LIHUE,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",16
WAILEA,"OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS",16
WAILUKU,"FULL-SERVICE RESTAURANTS",16
WAIPAHU,"BEAUTY SALONS",16
HILO,"INSURANCE AGENCIES AND BROKERAGES",15
HILO,"RELIGIOUS ORGANIZATIONS",15
HONOLULU,"ALL OTHER TRAVELER ACCOMMODATION",15
HONOLULU,"OFFICES OF REAL ESTATE APPRAISERS",15
HONOLULU,"VETERINARY SERVICES",15
KAILUA,"RELIGIOUS ORGANIZATIONS",15
"KAILUA KONA","OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS",15
"KAILUA KONA","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",15
"KAILUA KONA","RESIDENTIAL REMODELERS",15
KAPAA,"FULL-SERVICE RESTAURANTS",15
KAPOLEI,"LIMITED-SERVICE RESTAURANTS",15
KAPOLEI,"NAIL SALONS",15
KIHEI,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",15
LAHAINA,"ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES",15
LIHUE,"OFFICES OF DENTISTS",15
WAILEA,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",15
WAIPAHU,"INSURANCE AGENCIES AND BROKERAGES",15
AIEA,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",14
HAIKU,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",14
HONOLULU,"ALL OTHER GENERAL MERCHANDISE STORES",14
HONOLULU,"APPLIANCE REPAIR AND MAINTENANCE",14
HONOLULU,"COMMERCIAL BAKERIES",14
HONOLULU,"COMMERCIAL SCREEN PRINTING",14
HONOLULU,"FINFISH FISHING",14
HONOLULU,"MEAT MARKETS",14
HONOLULU,"OFFICES OF PODIATRISTS",14
HONOLULU,"OTHER INDIVIDUAL AND FAMILY SERVICES",14
HONOLULU,"OTHER SERVICES TO BUILDINGS AND DWELLINGS",14
HONOLULU,"PASSENGER CAR RENTAL",14
HONOLULU,"RETAIL BAKERIES",14
HONOLULU,"SIGN MANUFACTURING",14
KAHULUI,"OFFICES OF DENTISTS",14
"KAILUA KONA","TOUR OPERATORS",14
KANEOHE,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",14
KAPOLEI,"BEAUTY SALONS",14
MILILANI,"RELIGIOUS ORGANIZATIONS",14
AIEA,"BEAUTY SALONS",13
HONOLULU,"ALL OTHER LEGAL SERVICES",13
HONOLULU,"JEWELRY AND SILVERWARE MANUFACTURING",13
HONOLULU,"LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS",13
HONOLULU,"MORTGAGE AND NONMORTGAGE LOAN BROKERS",13
HONOLULU,"MUSICAL GROUPS AND ARTISTS",13
HONOLULU,"NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",13
HONOLULU,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITHOUT FACILITIES",13
HONOLULU,"PUBLIC RELATIONS AGENCIES",13
HONOLULU,"TILE AND TERRAZZO CONTRACTORS",13
KAILUA,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",13
KAILUA,"RESIDENTIAL REMODELERS",13
"KAILUA KONA","GENERAL AUTOMOTIVE REPAIR",13
"KAILUA KONA","LANDSCAPING SERVICES",13
"KAILUA KONA","NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",13
"KAILUA KONA","OFFICES OF DENTISTS",13
"KAILUA KONA","SCENIC AND SIGHTSEEING TRANSPORTATION, WATER",13
KANEOHE,"RESIDENTIAL REMODELERS",13
KOLOA,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",13
LAHAINA,"ALL OTHER PERSONAL SERVICES",13
LAHAINA,"LIMITED-SERVICE RESTAURANTS",13
MILILANI,"LIMITED-SERVICE RESTAURANTS",13
WAILUKU,"OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS",13
"EWA BEACH","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",12
HILO,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",12
HONOLULU,"COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE",12
HONOLULU,"CORPORATE, SUBSIDIARY, AND REGIONAL MANAGING OFFICES",12
HONOLULU,"FINISH CARPENTRY CONTRACTORS",12
HONOLULU,"FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS",12
HONOLULU,"FURNITURE STORES",12
HONOLULU,"GENERAL LINE GROCERY MERCHANT WHOLESALERS",12
HONOLULU,"LANGUAGE SCHOOLS",12
HONOLULU,"OTHER SPECIALIZED DESIGN SERVICES",12
HONOLULU,"PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING",12
HONOLULU,"SCENIC AND SIGHTSEEING TRANSPORTATION, WATER",12
KAHULUI,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",12
"KAILUA KONA","ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES",12
"KAILUA KONA","ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES)",12
"KAILUA KONA","TAXI SERVICE",12
KANEOHE,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",12
KAPOLEI,"OFFICES OF DENTISTS",12
KIHEI,"PHOTOGRAPHY STUDIOS, PORTRAIT",12
LAHAINA,"BEAUTY SALONS",12
LAHAINA,"GIFT, NOVELTY, AND SOUVENIR STORES",12
LIHUE,"BEAUTY SALONS",12
LIHUE,"FULL-SERVICE RESTAURANTS",12
"PEARL CITY","FULL-SERVICE RESTAURANTS",12
"PEARL CITY","OFFICES OF REAL ESTATE AGENTS AND BROKERS",12
PRINCEVILLE,"OFFICES OF REAL ESTATE AGENTS AND BROKERS",12
WAILEA,"PHOTOGRAPHY STUDIOS, PORTRAIT",12
"EWA BEACH","LIMITED-SERVICE RESTAURANTS",11
"EWA BEACH","OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",11
HILO,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",11
HILO,"OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS)",11
HONOLULU,"ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES",11
HONOLULU,"AUTOMOTIVE PARTS AND ACCESSORIES STORES",11
HONOLULU,"CHILD AND YOUTH SERVICES",11
HONOLULU,"OTHER TECHNICAL AND TRADE SCHOOLS",11
HONOLULU,"RECREATIONAL GOODS RENTAL",11
